Word,N,Mean,S.D
nap,43,4.395348837,2.583275282
moonlight,43,3.558139535,2.383498085
rainbow,42,3.428571429,2.50017421
lizard,43,4.720930233,2.027496479
beside,42,2.857142857,2.031116821
curb,41,4.829268293,1.973606331
dryer,41,5.56097561,1.613207682
sprinkler,42,5.738095238,1.69733685
cup,42,6.857142857,0.417391936
vow,44,1.454545455,1.150420458
like,42,2.952380952,2.368001946
wrestling,41,4.268292683,2.302437733
sale,39,2.871794872,2.386138558
chest,43,5.837209302,1.744791331
ill,45,3.2,2.20123932
bump,45,4.4,2.093279289
gently,41,3.487804878,2.214971233
forehead,39,5.615384615,2.072570037
drops,40,4.15,2.094559497
dolly,44,5.840909091,1.764549904
arm,42,6.30952381,1.584807371
tobacco,44,1.681818182,1.459097001
code,42,2.452380952,1.965586624
wade,45,2.488888889,1.632374487
unit,46,1.652173913,1.139539699
brush,39,6.692307692,0.893068223
scales,44,3.75,2.36372784
listen,46,3.652173913,2.549225515
always,44,2.863636364,2.27821747
wipe,46,4.608695652,2.265472831
job,45,3.644444444,2.327264836
artist,45,4.2,2.312023907
newspaper,42,5.19047619,2.015042156
steer,46,3.02173913,2.352201148
jelly,42,5.214285714,1.969718493
ideal,44,2.204545455,1.95982374
skateboard,45,5.644444444,1.734090744
grandmother,40,6.175,1.752470783
interesting,45,2.422222222,2.158375745
contest,45,3.133333333,2.062654953
strong,41,3.12195122,2.304290801
center,46,2.97826087,1.891373756
lily,42,3.738095238,2.012879551
dentist,43,5.627906977,1.676493731
change,47,3.106382979,2.118593079
path,44,5.068181818,1.796608268
kitten,43,5.860465116,1.859101106
wheel,44,5.772727273,1.763501226
peanut,45,5.977777778,1.484601093
fan,45,5.177777778,1.748881316
cloudy,43,2.511627907,2.062962422
ladder,45,5.444444444,1.865421663
straight,41,2.902439024,2.047008525
blade,46,3.282608696,1.85787266
picture,44,6.204545455,1.339551217
hug,46,6.217391304,1.800161023
soup,43,6.488372093,1.008820457
grandpa,45,6.577777778,0.988315575
keeper,46,1.782608696,1.604341935
angry,46,3.847826087,2.607403061
back,46,4.413043478,2.612585666
smart,48,3.125,2.548466372
out,45,3.488888889,2.590386267
cafeteria,41,3.292682927,2.238793229
troll,45,3.2,2.482667187
sleepy,45,3.555555556,2.500505
stir,44,4.181818182,2.374993046
bib,41,4.804878049,2.147318237
have,45,2.977777778,2.444742865
beneath,47,2.808510638,2.039163275
fill,47,3.319148936,2.432625911
woke,41,2.975609756,2.17356625
do,43,3.674418605,2.427235643
curly,45,3.488888889,2.21176834
break,44,4.181818182,2.470973137
maple,46,3.543478261,2.029849712
scrub,44,3.090909091,2.290711089
for,42,2.69047619,2.321564813
saying,43,3.139534884,2.315387403
with,44,2.636363636,2.125054408
going,40,3.325,2.152964563
mutt,45,3.666666667,2.022599587
half,45,3.222222222,2.098580569
them,40,3.525,2.241651177
chosen,46,2.369565217,2.058680221
fine,45,2.733333333,2.071450963
stroll,45,3,2.153221688
factory,45,3.155555556,2.204907291
typewriter,46,2.608695652,1.994194473
needle,46,4.434782609,1.951092844
pipe,41,3.87804878,2.099941927
ambulance,43,4.465116279,2.027769561
practice,48,3.1875,2.120379833
cell,45,2.822222222,2.113687954
tickle,42,5.238095238,2.127743839
emerald,48,3.458333333,2.18270117
good-looking,44,2.454545455,2.039773647
bum,46,5.804347826,1.892905647
west,44,2.318181818,2.077260352
hose,46,5.391304348,1.819380369
gallop,43,2.604651163,1.989729999
these,44,2.545454545,2.182963054
machine,42,5.071428571,2.016914537
