Word,Length,LgSUBTLWF,OLD
a,1,6.018,1.45
aah,3,3.43,1.85
Aaron,5,2.874,1.85
aback,5,1.204,1.95
abacus,6,1.114,2.9
abandon,7,2.617,2.9
abandoned,9,2.832,3.55
abandoning,10,1.94,3.7
abandonment,11,1.699,4.4
abase,5,0.602,1.8
abasement,9,,2.6
abash,5,,1.8
abate,5,0.778,1.85
abated,6,0.699,1.95
abbess,6,0.477,2.65
abbey,5,2.212,2.15
abbot,5,1.643,2.35
abbreviate,10,0.301,4.05
abbreviated,11,1.23,4.2
abbreviation,12,1.114,4
abbreviations,13,1.041,4.35
abdicate,8,1,2.8
abdomen,7,2.236,3
abdominal,9,2.243,3.75
abduct,6,1.568,2.5
abduction,9,2.269,2.7
Abe,3,,1.25
abed,4,1.041,1.7
Abel,4,1.839,1.8
Abel's,6,,
aberrant,8,1.204,3.25
aberration,10,1.462,2.85
aberrations,11,0.954,3.4
abet,4,0.778,1.75
abetted,7,0.954,2.35
abeyance,8,0.477,3.4
abhor,5,1.114,2.3
abhorred,8,0.903,2.9
abhorrent,9,1,3.65
abide,5,2.143,1.7
abides,6,0.699,1.9
abiding,7,1.415,2.15
Abigail,7,2.19,3.25
abilities,9,2.495,2.95
ability,7,2.992,2.3
abject,6,1.322,2.35
ablaze,6,1.342,2.25
able,4,3.912,1.5
ably,4,1,1.9
abnormal,8,2.173,3.1
abnormalities,13,1.415,4.6
abnormality,11,1.431,3.6
abnormally,10,1.322,3.5
aboard,6,3.133,2.3
abode,5,1.532,1.8
abolish,7,1.398,2.8
abolished,9,1.322,3.4
abolition,9,1.041,2.85
abolitionist,12,1.079,4.3
abolitionists,13,1.146,4.75
abominable,10,1.518,3.45
abominate,9,0.602,2.95
aboriginal,10,1,4
aborigine,9,0.699,3.6
aborigines,10,1,3.7
abort,5,2.373,1.95
abortion,8,2.568,2.55
abortionist,11,0.699,4.1
abortions,9,1.556,2.75
abortive,8,0.301,2.85
abound,6,1.279,1.85
abounded,8,0.602,2.2
abounding,9,0.699,2.4
abounds,7,1.041,2.2
about,5,5.268,1.85
above,5,3.397,1.95
aboveground,11,0.903,4.65
abracadabra,11,1.732,5.95
Abraham,7,2.423,3.8
abrasion,8,1.279,2.9
abrasive,8,1.38,2.9
abreast,7,1.431,2.7
abridged,8,1,2.85
abridgment,10,,3.95
abroad,6,2.4,2.55
abrogate,8,0.301,2.85
abrogated,9,0.477,3.3
abrupt,6,1.771,2.7
abruptly,8,1.663,3.65
abruptness,10,0.699,3.85
abscess,7,1.415,2.7
abscesses,9,0.903,3.1
abscissa,8,,3.85
abscond,7,0.778,2.95
absence,7,2.509,2.65
absences,8,1.176,2.75
absent,6,2.121,1.95
absented,8,,2.4
absentee,8,1.279,2.95
absenteeism,11,0.778,5.1
absently,8,,2.85
absentmindedly,14,,6.7
absinth,7,,3.25
absolute,8,2.762,2.9
absolutely,10,3.761,3.85
absoluteness,12,0.301,4.55
absolutes,9,1.342,3.4
absolution,10,1.69,2.75
absolutism,10,,4.05
absolve,7,1.477,2.8
absorb,6,2.009,2.55
absorbed,8,1.898,2.55
absorbency,10,,4.15
absorbent,9,0.954,3.1
absorber,8,0.602,2.7
absorbing,9,1.38,3.1
absorbs,7,1.415,2.7
absorption,10,1.279,2.9
absorptions,11,0.301,3.35
absorptive,10,,3.65
abstain,7,1.431,2.75
abstaining,10,0.954,3.05
abstention,10,0.845,3.35
abstinence,10,1.663,3.7
abstinent,9,0.602,3.5
abstract,8,2.049,2.65
abstracted,10,0.602,2.8
abstractedness,14,,5.15
abstracting,11,0.301,2.95
abstraction,11,1.204,2.65
abstractionism,14,,4.25
abstractionists,15,,5
abstractions,12,0.778,2.85
abstractive,11,,3.2
abstractly,10,0.477,3.45
abstractors,11,,3.25
abstracts,9,0.903,2.75
abstruse,8,0.602,3.45
absurd,6,2.696,2.7
absurdities,11,0.845,4.45
absurdity,9,1.518,3.75
absurdly,8,1.204,3.4
abundance,9,1.663,3.55
abundant,8,1.477,3.35
abuse,5,2.719,1.8
abused,6,2.365,1.85
abuses,6,1.415,1.85
abusive,7,1.924,2.8
abut,4,0.845,1.85
abutment,8,0.845,2.95
abutments,9,0.301,3.4
abysmal,7,1.342,3.7
abyss,5,1.959,2.45
acacia,6,0.954,2.75
academic,8,2.378,3.3
academically,12,1.079,4.4
academicianship,15,,7.2
academics,9,1.556,3.6
academies,9,0.903,3.7
academy,7,2.802,3.15
Acadia,6,0.602,2.7
Acapulco,8,1.919,4.55
accede,6,0.903,2.35
acceded,7,0.301,2.5
accelerando,11,,4.6
accelerate,10,1.819,3.25
accelerated,11,1.699,3.35
accelerating,12,1.663,3.6
acceleration,12,1.653,3.2
accelerations,13,,3.5
accelerator,11,1.845,3.7
accelerators,12,0.699,4.1
accelerometer,13,,5.15
accelerometers,14,,5.6
accent,6,2.794,1.85
accented,8,0.301,2.45
accenting,9,,2.75
accents,7,1.771,2.35
accentual,9,,3.35
accentuate,10,1.279,3.45
accentuated,11,0.477,3.8
accentuates,11,0.699,3.9
accept,6,3.43,2.35
acceptable,10,2.431,3.6
acceptance,10,2.209,3.8
accepted,8,2.904,2.7
accepting,9,2.316,2.8
accepts,7,2.029,2.65
access,6,3.208,2
accesses,8,0.477,2.65
accessible,10,1.756,3.75
accessions,10,,3.15
accessories,11,1.887,4.2
accessors,9,,2.9
accessory,9,2.17,3.25
accident,8,3.618,2.7
accidental,10,2.188,3.35
accidentally,12,2.653,4.3
accidents,9,2.533,3.05
acclaim,7,1.362,2.85
acclaimed,9,1.322,3.15
acclaims,8,0.477,3.2
acclamation,11,0.301,3.4
acclimate,9,0.954,3.4
acclimatized,12,0.477,4.85
accolade,8,0.301,3.45
accolades,9,1,3.6
accommodate,11,2.041,4.1
accommodated,12,0.778,4.3
accommodates,12,0.602,4.2
accommodating,13,1.568,4.35
accommodation,13,1.69,4.05
accommodations,14,1.935,4.4
accompanied,11,2.025,3.4
accompanies,11,1.146,3.25
accompaniment,13,1.204,4.2
accompaniments,14,,4.45
accompanist,11,1.041,3.8
accompanists,12,0.301,4
accompany,9,2.386,3.7
accompanying,12,1.681,4.25
accomplice,10,2.337,3.65
accomplices,11,1.771,3.85
accomplish,10,2.476,3.75
accomplished,12,2.586,4
accomplishes,12,0.903,3.95
accomplishing,13,1.431,4.45
accomplishment,14,1.987,4.7
accomplishments,15,1.914,4.9
accord,6,1.924,2.45
accordance,10,1.914,3.75
accorded,8,0.903,2.6
according,9,3.33,2.7
accordingly,11,1.973,4.2
accordion,9,1.833,3.6
accords,7,1,2.55
accost,6,0.602,2.45
accosted,8,1.544,2.7
accosting,9,0.699,2.7
account,7,3.358,2.6
accountability,14,1.398,5.45
accountable,11,1.863,3.95
accountant,10,2.5,3.6
accountants,11,1.748,4.2
accounted,9,2.19,2.6
accounting,10,2.364,2.7
accounts,8,2.728,2.65
accredit,8,,3.4
accreditation,13,1,4.7
accredited,10,1.23,3.6
accrue,6,0.699,2.65
accrued,7,1.146,2.65
accrues,7,0.301,2.7
accruing,8,0.477,2.9
acculturated,12,,4.05
acculturation,13,,4.45
accumulate,10,1.477,3.45
accumulated,11,1.602,3.55
accumulates,11,1.079,3.95
accumulating,12,1.279,4.05
accumulation,12,1.146,3.55
accuracy,8,1.887,3.6
accurate,8,2.603,2.75
accurately,10,1.771,3.9
accurst,7,,2.8
accusation,10,2.158,2.95
accusations,11,2.188,3.45
accusative,10,,3.6
accuse,6,2.464,2.25
accused,7,2.824,2.35
accuses,7,1.505,2.35
accusing,8,2.403,2.6
accusingly,10,,3.75
accustom,8,0.845,3.25
accustomed,10,2.176,3.65
ace,3,2.876,1
acerbic,7,0.699,2.95
aces,4,2.308,1.4
acetate,7,0.845,2.75
acetone,7,0.954,2.85
acetylene,9,1.38,4.5
ache,4,2.107,1.65
ached,5,1.23,1.8
aches,5,1.892,1.7
achieve,7,2.574,2.65
achieved,8,2.342,2.75
achievement,11,2.253,4.5
achievements,12,1.748,4.7
achieves,8,1.23,2.6
achieving,9,1.58,3.15
Achilles,8,2.064,2.85
aching,6,2.025,1.9
acid,4,2.707,1.7
acidic,6,1.079,2.7
acidity,7,1.041,2.4
acids,5,1.633,1.9
acknowledge,11,2.497,4.35
acknowledged,12,2.004,4.6
acknowledgement,15,1.342,6.05
acknowledges,12,1.146,4.5
acknowledging,13,1.568,5.1
acknowledgment,14,1.431,5.4
acknowledgments,15,0.301,5.75
acme,4,1.813,1.8
acne,4,1.672,1.75
acolyte,7,0.903,3.2
acorn,5,1.58,1.8
acorns,6,1.301,1.85
acoustic,8,1.699,3.1
acoustical,10,0.845,3.6
acoustically,12,0.301,3.8
acoustics,9,1.362,3.5
acquaint,8,1.322,3.4
acquaintance,12,2.438,5.3
acquainted,10,2.365,3.5
acquiesce,9,0.602,3.6
acquiesced,10,0.778,3.75
acquiescence,12,0.778,4.4
acquiescent,11,0.301,4.1
acquire,7,2.134,2.55
acquired,8,2.36,2.6
acquires,8,0.954,2.7
acquiring,9,1.643,3.05
acquisition,11,1.875,3.55
acquisitions,12,1.532,3.95
acquisitive,11,0.602,4.1
acquisitiveness,15,0.301,5.75
acquit,6,1.398,2.75
