Word,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,MCDI_AoA
meow,0.5,0.49,0.68,0.72,0.73,0.79,0.82,0.87,0.9,0.9,0.94,0.91,0.97,0.93,0.97,18
ouch,0.43,0.45,0.6,0.65,0.73,0.75,0.75,0.87,0.84,0.87,0.9,0.9,0.95,0.89,0.94,18
alligator,0.03,0.05,0.1,0.13,0.18,0.21,0.28,0.38,0.46,0.5,0.6,0.58,0.8,0.72,0.79,26
animal,0.05,0.07,0.14,0.22,0.26,0.31,0.44,0.49,0.56,0.55,0.66,0.7,0.81,0.73,0.83,24
ant,0.05,0.07,0.16,0.2,0.26,0.25,0.34,0.44,0.5,0.55,0.64,0.66,0.78,0.7,0.84,25
bear,0.34,0.34,0.5,0.56,0.6,0.62,0.68,0.77,0.79,0.81,0.87,0.86,0.95,0.88,0.95,19
bee,0.18,0.25,0.36,0.49,0.5,0.48,0.6,0.72,0.72,0.73,0.79,0.81,0.92,0.84,0.93,22
bird,0.48,0.47,0.63,0.66,0.76,0.7,0.8,0.83,0.88,0.92,0.96,0.94,0.97,0.93,0.97,18
bug,0.14,0.18,0.35,0.41,0.45,0.5,0.59,0.69,0.73,0.74,0.83,0.79,0.92,0.83,0.92,22
bunny,0.22,0.22,0.43,0.47,0.57,0.55,0.65,0.71,0.75,0.79,0.81,0.82,0.93,0.85,0.92,20
butterfly,0.08,0.1,0.21,0.28,0.31,0.38,0.46,0.54,0.64,0.69,0.71,0.75,0.89,0.81,0.92,23
cat,0.42,0.45,0.53,0.66,0.68,0.68,0.8,0.85,0.85,0.87,0.94,0.88,0.96,0.96,0.95,18
cow,0.22,0.29,0.47,0.53,0.54,0.54,0.7,0.79,0.79,0.83,0.87,0.84,0.96,0.89,0.95,19
deer,0.06,0.08,0.14,0.16,0.18,0.27,0.34,0.37,0.39,0.43,0.46,0.52,0.7,0.55,0.69,27
dog,0.68,0.72,0.78,0.83,0.82,0.85,0.87,0.94,0.93,0.95,0.98,0.96,0.99,0.97,0.96,16
donkey,0.03,0.04,0.07,0.12,0.13,0.2,0.25,0.28,0.32,0.31,0.36,0.42,0.58,0.43,0.52,28
duck,0.48,0.52,0.61,0.67,0.72,0.67,0.82,0.85,0.87,0.88,0.94,0.93,0.98,0.91,0.97,17
elephant,0.08,0.11,0.23,0.31,0.32,0.38,0.53,0.6,0.67,0.68,0.78,0.78,0.91,0.83,0.95,22
frog,0.11,0.14,0.28,0.38,0.41,0.43,0.57,0.62,0.71,0.74,0.79,0.77,0.91,0.82,0.94,22
giraffe,0.07,0.1,0.17,0.22,0.27,0.28,0.39,0.48,0.58,0.55,0.62,0.65,0.83,0.7,0.84,24
goose,0.04,0.07,0.08,0.17,0.18,0.18,0.28,0.33,0.35,0.41,0.47,0.47,0.65,0.45,0.6,28
hen,0.01,0.01,0.03,0.06,0.08,0.13,0.16,0.19,0.22,0.25,0.3,0.26,0.48,0.33,0.46,NA
horse,0.19,0.2,0.4,0.46,0.49,0.56,0.69,0.75,0.79,0.8,0.89,0.89,0.96,0.91,0.97,21
kitty,0.45,0.38,0.6,0.64,0.61,0.69,0.76,0.8,0.79,0.85,0.87,0.84,0.94,0.89,0.94,18
lamb,0.04,0.03,0.11,0.13,0.13,0.18,0.24,0.35,0.39,0.42,0.51,0.47,0.67,0.46,0.66,26
lion,0.09,0.11,0.2,0.28,0.32,0.35,0.48,0.58,0.64,0.69,0.72,0.75,0.9,0.83,0.92,23
monkey,0.12,0.2,0.3,0.41,0.43,0.47,0.63,0.68,0.75,0.8,0.85,0.83,0.94,0.85,0.94,22
moose,0.03,0.05,0.07,0.11,0.09,0.11,0.21,0.23,0.28,0.28,0.34,0.36,0.52,0.42,0.48,28
mouse,0.09,0.1,0.22,0.29,0.32,0.42,0.56,0.58,0.62,0.65,0.71,0.72,0.88,0.81,0.9,22
owl,0.13,0.15,0.24,0.33,0.34,0.36,0.5,0.48,0.55,0.59,0.64,0.62,0.83,0.68,0.8,24
penguin,0.02,0.03,0.09,0.13,0.15,0.25,0.28,0.35,0.37,0.42,0.43,0.45,0.66,0.6,0.69,28
pig,0.17,0.21,0.37,0.49,0.48,0.5,0.65,0.74,0.77,0.82,0.82,0.8,0.95,0.92,0.95,22
pony,0.03,0.02,0.06,0.12,0.14,0.22,0.28,0.24,0.31,0.34,0.43,0.46,0.59,0.51,0.58,28
puppy,0.22,0.21,0.4,0.49,0.48,0.54,0.64,0.7,0.73,0.78,0.82,0.77,0.9,0.84,0.93,21
rooster,0.02,0.02,0.05,0.09,0.11,0.15,0.22,0.24,0.32,0.36,0.43,0.48,0.62,0.44,0.61,28
sheep,0.08,0.11,0.22,0.32,0.32,0.35,0.46,0.52,0.6,0.67,0.69,0.68,0.85,0.72,0.85,23
squirrel,0.05,0.06,0.17,0.2,0.24,0.27,0.36,0.42,0.49,0.55,0.57,0.64,0.75,0.73,0.8,25
tiger,0.08,0.09,0.19,0.23,0.25,0.3,0.42,0.53,0.57,0.6,0.68,0.69,0.84,0.75,0.88,23
turkey,0.04,0.03,0.09,0.16,0.17,0.22,0.32,0.32,0.4,0.44,0.49,0.5,0.66,0.56,0.72,28
turtle,0.11,0.13,0.25,0.34,0.35,0.4,0.48,0.59,0.66,0.7,0.69,0.7,0.88,0.82,0.91,23
wolf,0.02,0.01,0.08,0.06,0.09,0.11,0.12,0.23,0.28,0.32,0.38,0.39,0.57,0.43,0.58,28
zebra,0.04,0.08,0.15,0.2,0.22,0.22,0.36,0.43,0.5,0.52,0.61,0.57,0.78,0.69,0.81,25
airplane,0.22,0.21,0.41,0.48,0.54,0.57,0.7,0.74,0.79,0.85,0.9,0.92,0.96,0.91,0.97,20
