Word,N,Mean,SD
able,32,2.5625,1.949979322
aboard,24,2.208333333,1.768791449
about,27,2.444444444,1.928198309
above,32,3.34375,2.294585141
academy,28,1.5,1.427248064
accident,34,3.529411765,2.177506137
ache,27,2.814814815,1.819489299
acre,24,2.083333333,1.585715218
across,26,3.076923077,2.381983659
act,34,2.235294118,1.538571229
acting,33,3.939393939,2.192877589
action,25,3.32,2.014944168
actor,24,2.708333333,1.82921144
actually,26,2.538461538,2.249102385
ad,24,2.541666667,2.042572263
add,26,4,2.244994432
address,24,3,2.02162225
admiral,26,1.730769231,1.756307315
admit,23,1.913043478,1.474419562
adopt,29,2.034482759,1.72135243
adult,33,6.242424242,1.323591304
adventure,32,2.96875,1.713031175
adverb,45,1.222222222,0.822658907
advice,32,2.375,1.408499545
afraid,23,3.739130435,1.839401862
after,25,3.28,2.26421436
afternoon,29,3.551724138,2.543706616
afterwards,24,2.583333333,1.767254482
again,29,3.551724138,2.414039396
against,25,2.08,1.800925688
age,26,2.192307692,1.897771973
agency,26,1.038461538,0.196116135
agent,31,2.032258065,1.516220542
ago,26,1.846153846,1.541228281
agree,24,3.041666667,2.136212957
ahead,24,2.75,1.750776225
aid,283,2.120141343,1.597776818
air,28,4.714285714,2.492316234
airplane,29,5.827586207,1.691765044
airport,43,4.837209302,2.148423925
aisle,35,3,1.697749375
alarm,29,4.103448276,2.257445263
alike,24,1.833333333,1.372609912
alive,25,3.28,2.092048438
all,31,2.64516129,1.992458901
alley,26,3.461538462,1.94382652
alligator,47,3.553191489,2.420999709
allowance,26,3.307692308,2.149776375
almost,24,2.166666667,1.736229465
alone,34,3.058823529,2.116904207
along,29,2.448275862,1.453719537
alongside,24,1.916666667,1.585715218
aloud,23,2.782608696,1.999011613
alphabet,23,5.130434783,2.563810159
already,34,2.882352941,2.114376559
also,34,2.029411765,1.93038376
although,32,2.28125,1.782248942
always,44,2.863636364,2.27821747
AM,23,2.217391304,1.832944024
amazing,25,3.44,2.433789912
ambulance,43,4.465116279,2.027769561
among,26,2.076923077,1.521133181
an,25,1.52,1.262273082
ancient,25,1.44,1.260952021
and,24,1.791666667,1.667572218
angel,28,2.285714286,1.739670954
anger,29,4.724137931,2.136361254
angry,46,3.847826087,2.607403061
animal,45,6.155555556,1.506886549
ankle,23,6.173913043,1.192864159
another,29,2.862068966,2.133477007
answer,24,2.583333333,1.909169331
ant,28,5.785714286,1.872948613
anxious,28,1.928571429,1.303231637
any,23,3.043478261,2.285890733
anybody,30,4.033333333,2.108821101
anyhow,30,1.866666667,1.407696415
anyone,30,3.633333333,2.251181044
anything,42,3.214285714,2.311537492
anyway,33,1.878787879,1.798568454
anywhere,26,2.807692308,2.33271054
apart,31,2.161290323,1.714580108
apartment,35,3.4,2.017569884
ape,26,2.653846154,1.695695909
apiece,23,1.739130435,1.388831795
apple,27,6.925925926,0.266880256
applesauce,26,6.538461538,1.392286443
application,25,2.2,1.658312395
appreciate,27,3.111111111,2.100061049
approve,25,2.6,1.732050808
apron,35,5.342857143,2.182050535
aquarium,27,4.962962963,1.870447941
arch,27,2.62962963,1.800601356
are,24,2.083333333,1.931808494
area,26,2.384615385,1.877805593
argue,26,2.923076923,1.853063991
argument,26,3.153846154,2.129644246
arithmetic,25,2.52,2.002498439
arm,42,6.30952381,1.584807371
arms,24,6.541666667,1.350657382
army,26,2.346153846,1.695695909
around,25,2.76,2.126812952
arrive,27,3.259259259,2.263295633
arriving,23,2.304347826,1.635814576
arrow,25,4.28,2.18936825
art,35,5.342857143,1.954525023
artist,45,4.2,2.312023907
as,32,2.40625,1.881306598
ash,26,2.807692308,1.49717683
ashes,26,2.923076923,2.189485363
ashore,23,1.739130435,1.421183607
aside,41,2.048780488,1.716846229
ask,24,4.166666667,2.565094568
asleep,23,4.391304348,2.388212158
assembly,25,2.28,1.646207763
astronaut,42,3.404761905,2.274562663
at,24,2.291666667,2.031901373
ate,26,4.576923077,2.468571683
attend,23,2.695652174,1.769303474
attention,26,2.653846154,1.917129264
audience,25,3.96,1.881488772
auditorium,24,3.291666667,2.196423311
aunt,26,5.769230769,1.750604291
author,23,2.913043478,1.649050511
auto,25,3.84,2.461029595
autumn,24,4.041666667,2.293263607
avalanche,29,2.24137931,1.805847099
avenue,26,1.923076923,1.494605685
awake,24,3.666666667,2.3343683
aware,27,2.296296296,1.937778562
away,24,3.291666667,2.293263607
awful,28,1.928571429,1.412341671
awfully,26,1.384615385,0.697247335
awhile,25,1.88,1.332916602
awoke,26,2.461538462,1.94382652
ax,23,2.869565217,2.11712386
axle,24,1.916666667,1.529895327
babe,25,3.04,2.318045153
babies,26,6.115384615,1.557611584
baby,48,6.020833333,1.839167056
back,46,4.413043478,2.612585666
backward,26,4.115384615,2.438473671
backwards,25,3.44,2.180978374
backyard,25,6.4,1.190238071
bacon,23,6.434782609,1.308228746
bad,34,3.794117647,2.17115263
badly,23,2.47826087,2.064187386
bag,32,6.375,1.211503997
baggage,26,3.884615385,1.945804164
baggy,28,3.357142857,2.058663459
bait,33,2.696969697,2.128450852
bake,30,4.566666667,2.269487764
baker,23,4.739130435,1.888178326
bakery,32,5.125,2.075199174
baking,26,5.384615385,1.745323422
bald,24,4.291666667,2.216129934
ball,44,6.954545455,0.210707055
balloon,23,6.347826087,1.228772323
bamboo,45,3.666666667,2.033805211
banana,32,6.90625,0.390150922
band,23,3.739130435,1.912100019
bandage,45,5.933333333,1.513574937
bang,28,3.285714286,2.290999181
banjo,27,3.62962963,2.255730278
bank,24,3.958333333,2.074255585
bar,24,3.958333333,2.349452604
barber,24,3.416666667,2.282574189
bare,27,2.666666667,2.038098661
barely,25,2.96,1.593737745
bargain,27,1.666666667,1.109400392
barge,29,1.827586207,1.002460028
bark,33,4.878787879,2.175970699
barley,23,2.304347826,1.690475528
barn,36,4.472222222,2.117763121
barnyard,24,4.083333333,2.22469669
barrel,26,3.653846154,2.038476052
base,23,2.739130435,2.178769279
baseball,47,5.574468085,1.838532979
basement,27,6.111111111,1.450022104
basket,23,5.913043478,1.564174004
basketball,32,6.3125,1.148280622
bat,29,4.896551724,2.093268592
bath,28,6.678571429,0.944911183
bathing,25,6.08,1.382027496
bathroom,46,6.239130435,1.594222661
bathtub,36,6.694444444,0.749073502
batter,28,4.214285714,2.061231974
battery,27,5.111111111,1.502135232
bay,27,2.592592593,1.80297317
be,34,3.441176471,2.337976028
beach,36,4.888888889,1.953425969
beak,24,3.166666667,2.078182037
beam,25,1.88,1.268857754
bean,30,5.833333333,1.464130514
beans,26,5.923076923,1.572846513
bear,24,4.25,2.418227882
beard,23,4.739130435,1.959067294
beast,24,2.958333333,2.115762103
beat,28,3.535714286,1.895064601
beaten,23,2,1.348399725
beautiful,28,2.892857143,2.042860843
beauty,26,2.5,1.816590212
beaver,26,3.807692308,2.349795408
became,23,2.391304348,1.559111939
because,23,3.043478261,2.421086549
bed,27,6.666666667,1.176696811
bedroom,27,6.481481481,1.311791798
bedside,25,4.48,2.293468988
bedtime,27,5.074074074,2.302605981
bee,34,5.382352941,1.922982309
been,24,2,1.769303474
beetle,25,5.56,1.916594202
before,27,2.814814815,2.434322478
beg,26,2.423076923,1.579191614
begin,28,2.928571429,2.340126167
beginning,31,3,2.065591118
behind,30,3.466666667,2.2550072
being,24,2.416666667,1.691838893
believe,27,2.962962963,2.377482209
bell,48,6.020833333,1.263052421
belly button,24,6.25,1.510830466
belong,26,2.576923077,2.023325519
below,32,3.34375,2.33637954
belt,24,5,1.817786518
bench,28,5.035714286,2.219144694
bend,29,4.172413793,2.330986387
beneath,47,2.808510638,2.039163275
bent,28,3.535714286,1.914508792
beside,42,2.857142857,2.031116821
best,24,2.375,1.906795628
bet,27,2.111111111,1.625123269
better,26,2.923076923,2.207678906
between,23,3.434782609,2.041080083
beyond,24,1.625,1.095941128
bib,41,4.804878049,2.147318237
bicycle,25,6.88,0.331662479
big,36,4,2.736003342
bigger,25,3.96,2.071231518
bike,23,6.826086957,0.576208131
bill,24,2.791666667,2.021174146
bin,30,5.4,1.849510653
binoculars,47,5.659574468,1.684669955
bird,26,5.038461538,2.199650322
birthday,30,5,2.505167074
biscuit,27,4.481481481,2.326608135
bit,25,3.52,1.917463602
bite,26,5.153846154,2.185265342
black,30,3.6,2.485821865
blackboard,29,4.103448276,1.838959869
blackness,28,3.035714286,1.914508792
