Word,1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,18,19,21,22,23,24,25,26,28,29,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,91,92,93,94,95,96,97,98,99,100,103,104,105,106,108,110,111,112,114,115,116,117,119,120,121,123,124,125,126,127,128,129,131,132,133,135,136,137,138,139,141,142,143,144,145,146,147,148,151,152,153,154,155,156,157,159,160,161,162,164,165,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,186,187,188,189,190,191,193,194,195,197,198,199,200,201,203,204,205,206,208,209,210,211,212,213,214,215,216,218,219,220,221,222,223,224,225,226,228,229,230,232,233,234,235,236,237,238,239,241,242,243,244,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,263,264,265,266,267,268,269,270,271,273,274,275,277,279,280,281,282,283,286,288,289,290,291,292,293,294,295,297,298,300,302,306,307,308,310,312,313,314,315,316,317,320,322,323,325,326,327,328,329,330,331,333,334,336,337,338,339,341,342,343,344,345
nap,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,7,,,7,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,6,,,,,3,,,,,,,,,,,,,,,,,,,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,4,7,1,7,6,6,7,4,1,,1,7,1,4,3,7,1,7,1,7,1,5,1,7,,,,
moonlight,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,,,,,,,,,,3,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,4,2,7,3,1,1,6,1,5,7,6,1,7,2,1,7,,2,1,1,5,,5,1,2,4,7,,,,2
rainbow,,,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,,4,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,1,,,,,,,,,,,,,,6,,4,,,,,,,,,,,,,,,,,,,,,,,, ,,7,4,7,7,1,1,7,2,6,7,7,1,,2,1,1,6,1,1,1,,,,1,3,1,,7,1,,3
lizard,,,,,,,,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,3,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,7,,,,,,,,,6,,,,,,,,,,,,,,,,,,7,,,,,,,4,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,7,6,1,7,7,5,6,7,7,2,7,3,1,,7,3,4,,6,4,,,2,7,3,2,,5,5
beside,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,3,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,3,1,1,5,2,6,7,1,2,,1,1,,3,2,,1,5,1,1,1,3,1,7,,,,1
curb,,,,,,,,4,,,,,,,,,,,,7,,,,,,,,,,,,3,,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,,,1,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,7,2,1,3,6,5,4,7,3,4,7,3,7,7,6,5,,3,,,,5,,,1,1,5,7,
dryer,,,,,, ,,,,,,7,,,,,,,6,,,,,,,,,,,,,,,,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,4,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,,,,7,7,7,4,4,7,7,7,5,7,2,4,,4,4,6,,3,,5,4,,6,,3,7,,4,,7,4
sprinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,6,,,,,,,,,,,,,,,,,,7,,7,,,,,,,,,,,,7,,,,,,,,,7,,,,,,,,4,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,5,,,,,,,,7,,4,,,,,,,,6,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,5,6,7,2,5,7,7,7,3,7,7,4,7,5,5,7,,7,1,,7,5,5,5,,7,,1,7,,
cup,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,6,,,,,6,,7,,,,,,,5,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,6,7,7,7,,7,7,7,7,7,7,7,,,7,,,7,7,7,6,7,
