Word,DMean
ant,1.64259707
appendix,3.038461538
apple,1.353332996
arrow,5.316230769
badger,3
balloon,1.729692308
banana,1.231846154
basket,1.267794872
blanket,1.291115385
bottle,2.574769231
buffalo,3.353615385
burglar,6.115384615
butterfly,1.115384615
cancer,7.923076923
cannon,6.0625
canteen,1.843484848
canyon,3.592423077
card,1.198
carrot,1.379807692
chicken,1.779815115
clothing,1.576923077
club,4.111653846
collision,6.307692308
constellation,1.96
cork,1.66654226
corner,2
crime,6.456583333
crossbow,4.4
crow,1.9845
desert,4.036307692
desk,1.454576923
dust,2.103021978
dynamite,7.115384615
eagle,2.170923077
echo,1.336538462
egg,1.452776557
electricity,4.153846154
elephant,3.137004804
fire,6.477038462
fish,2.112637363
flag,1.793231758
food,1.776692308
fork,2.454576923
hammer,3.490275385
hook,4.081730769
hurricane,7.127653846
joke,1.666957949
kerosene,5.384615385
knife,6.033653846
ladder,3
lamp,1.628949168
lava,6.3915
leaf,1.377653846
lightning,6.307692308
lint,1.268153846
lion,5.359311741
machete,6.076923077
moose,3.086538462
mugger,6.538461538
nail,3.410226538
needle,3.334051282
ointment,1.520307692
opera,1.163461538
parsley,1.120192308
pesticide,5.884615385
philosophy,1.384615385
pin,2.4795
plague,7.618038462
poetry,1.269230769
poison,7.604692308
pollution,6.846153846
potato,1.516614035
quicksand,6.346153846
rabbit,1.590269231
razor,4.961538462
scorpion,5.576923077
shoe,1.597230769
skunk,2.198192308
snake,5.015974103
spear,5.755884615
spoon,1.597923077
stove,3.312160594
strawberry,1.269230769
sunset,1.461538462
syringe,4.948192308
tarantula,5.464192308
telescope,1.730769231
thorn,2.739307692
tiger,5.269230769
toad,1.696038462
tobacco,6.070201529
tonsil,1.692307692
tornado,7.192307692
toxin,7.538461538
tree,2.3595
twig,1.514423077
waltz,1.192833333
water,2.063186813
wood,2.135333333
wool,1.551807692
adorn,1.770833333
afraid,4.859649123
allow,2.464285714
appear,2.052631579
apt,1.962962963
area,2.303668262
ash,2.580382775
assist,2.473684211
astute,1.885714286
avid,2.224489796
bad,5
basin,2.066763425
beg,3.157894737
bird,2.068662332
blade,5.268580542
bland,1.727272727
bleak,2.745098039
booth,1.627314815
brass,2.071451356
breath,3.20430622
brick,3.044497608
bright,2.526315789
car,3.851677985
clever,2.614035088
coffee,2.759011164
condemn,4.517857143
deceit,4.75539266
diamond,2.339712919
