Word,Length,LgSUBTLWF,OLD,PLD
a,1,6.018,1.45,1
aah,3,3.43,1.85,3
Aaron,5,2.874,1.85,1.6
aback,5,1.204,1.95,1.85
abacus,6,1.114,2.9,2.9
abandon,7,2.617,2.9,2.45
abandoned,9,2.832,3.55,2.6
abandoning,10,1.94,3.7,3.3
abandonment,11,1.699,4.4,4.45
abase,5,0.602,1.8,1.8
abasement,9,,2.6,2.4
abash,5,,1.8,1.9
abate,5,0.778,1.85,1.7
abated,6,0.699,1.95,1.85
abbess,6,0.477,2.65,1.9
abbey,5,2.212,2.15,1.55
abbot,5,1.643,2.35,1.85
abbreviate,10,0.301,4.05,3.7
abbreviated,11,1.23,4.2,4.15
abbreviation,12,1.114,4,3.8
abbreviations,13,1.041,4.35,4.1
abdicate,8,1,2.8,2.85
abdomen,7,2.236,3,3
abdominal,9,2.243,3.75,4
abduct,6,1.568,2.5,2.55
abduction,9,2.269,2.7,2.65
Abe,3,,1.25,1.3
abed,4,1.041,1.7,1.8
Abel,4,1.839,1.8,1.55
Abel's,6,,,
aberrant,8,1.204,3.25,2.75
aberration,10,1.462,2.85,2.55
aberrations,11,0.954,3.4,2.85
abet,4,0.778,1.75,1.8
abetted,7,0.954,2.35,1.9
abeyance,8,0.477,3.4,2.95
abhor,5,1.114,2.3,2.3
abhorred,8,0.903,2.9,2.15
abhorrent,9,1,3.65,2.95
abide,5,2.143,1.7,1.85
abides,6,0.699,1.9,1.95
abiding,7,1.415,2.15,1.95
Abigail,7,2.19,3.25,2.95
abilities,9,2.495,2.95,2.75
ability,7,2.992,2.3,2.3
abject,6,1.322,2.35,2.75
ablaze,6,1.342,2.25,1.95
able,4,3.912,1.5,1.55
ably,4,1,1.9,1.9
abnormal,8,2.173,3.1,3.35
abnormalities,13,1.415,4.6,5.2
abnormality,11,1.431,3.6,4.45
abnormally,10,1.322,3.5,3.55
aboard,6,3.133,2.3,1.6
abode,5,1.532,1.8,1.85
abolish,7,1.398,2.8,2.8
abolished,9,1.322,3.4,3.1
abolition,9,1.041,2.85,2.95
abolitionist,12,1.079,4.3,4.95
abolitionists,13,1.146,4.75,5.2
abominable,10,1.518,3.45,4
abominate,9,0.602,2.95,2.85
aboriginal,10,1,4,4.95
aborigine,9,0.699,3.6,4.8
aborigines,10,1,3.7,5.15
abort,5,2.373,1.95,1.9
abortion,8,2.568,2.55,2.55
abortionist,11,0.699,4.1,4.1
abortions,9,1.556,2.75,2.65
abortive,8,0.301,2.85,2.75
abound,6,1.279,1.85,1.9
abounded,8,0.602,2.2,2
abounding,9,0.699,2.4,2
abounds,7,1.041,2.2,2.3
about,5,5.268,1.85,1.95
above,5,3.397,1.95,1.95
aboveground,11,0.903,4.65,4.65
abracadabra,11,1.732,5.95,6.9
Abraham,7,2.423,3.8,4.95
abrasion,8,1.279,2.9,2.8
abrasive,8,1.38,2.9,2.7
abreast,7,1.431,2.7,1.75
abridged,8,1,2.85,2.9
abridgment,10,,3.95,3.9
abroad,6,2.4,2.55,1.95
abrogate,8,0.301,2.85,2.65
abrogated,9,0.477,3.3,2.85
abrupt,6,1.771,2.7,2.55
abruptly,8,1.663,3.65,3.7
abruptness,10,0.699,3.85,3.75
abscess,7,1.415,2.7,2.05
abscesses,9,0.903,3.1,2.5
abscissa,8,,3.85,2.75
abscond,7,0.778,2.95,3
absence,7,2.509,2.65,2.65
absences,8,1.176,2.75,3.1
absent,6,2.121,1.95,2.7
absented,8,,2.4,2.55
absentee,8,1.279,2.95,3.65
absenteeism,11,0.778,5.1,5.8
absently,8,,2.85,3.3
absentmindedly,14,,6.7,8.25
absinth,7,,3.25,2.95
absolute,8,2.762,2.9,3.6
absolutely,10,3.761,3.85,4.7
absoluteness,12,0.301,4.55,5.1
absolutes,9,1.342,3.4,4
absolution,10,1.69,2.75,3.5
absolutism,10,,4.05,5.3
absolve,7,1.477,2.8,2.95
absorb,6,2.009,2.55,2.5
absorbed,8,1.898,2.55,2.55
absorbency,10,,4.15,4.3
absorbent,9,0.954,3.1,3.4
absorber,8,0.602,2.7,3.15
absorbing,9,1.38,3.1,3
absorbs,7,1.415,2.7,2.65
absorption,10,1.279,2.9,3.5
absorptions,11,0.301,3.35,3.8
absorptive,10,,3.65,4.15
abstain,7,1.431,2.75,2.6
abstaining,10,0.954,3.05,2.7
abstention,10,0.845,3.35,2.75
abstinence,10,1.663,3.7,3.55
abstinent,9,0.602,3.5,3.55
abstract,8,2.049,2.65,2.65
abstracted,10,0.602,2.8,2.65
abstractedness,14,,5.15,5.25
abstracting,11,0.301,2.95,2.8
abstraction,11,1.204,2.65,2.6
abstractionism,14,,4.25,7.45
abstractionists,15,,5,5.45
abstractions,12,0.778,2.85,3.15
abstractive,11,,3.2,3.2
abstractly,10,0.477,3.45,3.5
abstractors,11,,3.25,3.4
abstracts,9,0.903,2.75,2.95
abstruse,8,0.602,3.45,2.9
absurd,6,2.696,2.7,2.65
absurdities,11,0.845,4.45,4.2
absurdity,9,1.518,3.75,3.6
absurdly,8,1.204,3.4,3.6
abundance,9,1.663,3.55,3.1
abundant,8,1.477,3.35,2.75
abuse,5,2.719,1.8,1.85
abused,6,2.365,1.85,2.25
abuses,6,1.415,1.85,2.55
abusive,7,1.924,2.8,2.7
abut,4,0.845,1.85,1.75
abutment,8,0.845,2.95,2.7
abutments,9,0.301,3.4,2.95
abysmal,7,1.342,3.7,3.15
abyss,5,1.959,2.45,1.9
acacia,6,0.954,2.75,2.8
academic,8,2.378,3.3,3.35
academically,12,1.079,4.4,4.15
academicianship,15,,7.2,7.85
academics,9,1.556,3.6,3.85
academies,9,0.903,3.7,3.5
academy,7,2.802,3.15,2.8
Acadia,6,0.602,2.7,2.85
Acapulco,8,1.919,4.55,5
accede,6,0.903,2.35,1.95
acceded,7,0.301,2.5,2.4
