Word,meanRT,sdRT,rating,sdrating
abbey,1710.5,1012.8,4.4,2.5
abbot,1714.8,1191.6,3.5,2.5
abduct,2027.5,1889.6,4.8,2.3
able,1945.7,1770.5,2.5,1.9
aboard,2165.4,1778.4,4.9,2.1
abode,1565.5,1265.5,3,2.3
abort,1832.5,1524.4,4.1,2.2
about,1779.7,1896.6,2,1.9
above,1960.9,1300.8,4.1,2.3
abreast,1851.5,1454.2,1.8,1.3
abroad,2042.7,1588,4.2,2.4
abrupt,2451.6,2296.5,3.1,1.8
absence,2818.8,4679,4.2,1.9
absent,1745.1,944.2,4.2,2.2
absolve,2519.2,3108.1,2.5,2
absorb,2513,2860.3,4.5,2
abstract,1931.7,1664.5,3.9,2.2
absurd,2454.4,2521.6,3,1.8
abuse,1858.4,1578.6,4.9,2.2
abyss,1802,1239.1,4.3,2.4
accent,1633.3,814.5,3.8,2.3
accept,1619.3,907.5,3.4,2.4
access,2039.5,1544.3,3.2,2.2
accord,2304.7,2129.8,2.5,2.2
account,2063.6,1795.5,4.2,2
accuse,1932.6,1147,3.6,2
achieve,2076,1554.9,3.6,2.1
acid,1462.4,754.1,5.9,1.9
acne,1225.1,626.1,6.5,1.4
acorn,1415.4,708.7,6,2
acquire,2067.6,1665.1,3.2,1.7
acre,1593,740,5,2.3
action,1720.6,1355.5,4.1,2.3
active,1949.9,2951,4.8,2.1
actor,1156.4,476.2,6.1,1.8
actress,1460.5,1042,6.4,1.3
acute,2891.1,4359.3,3,1.9
adage,1893.4,1366.7,1.6,1.3
adapt,2105.4,1721.8,2.9,1.9
addict,1718.7,1765.7,5.3,2.1
address,5542.3,14750,5,2
adept,1306.5,1819.3,2,1.9
adhere,1577.8,776.4,3.2,2.3
adjourn,1968.9,2027,2.1,1.6
adjust,1550.1,2031.6,3.5,2.2
admire,2556.2,2258.4,3.1,1.8
admit,2014.9,2564.5,3,2.1
ado,1475.2,1403.8,2.2,2.2
adopt,2352.1,3002.3,3.4,2.4
adore,2084.7,1840.8,3.6,1.9
adrift,2091.9,1516.9,3.2,2
adult,1117.2,465,6.5,1.5
advance,1734,1408.5,3.3,2.3
adverse,2500,2551,2.1,1.5
advice,2230,1750,3.3,2.2
advise,2001.3,1696.3,3.1,2.1
afar,1752.9,1531.8,2.5,1.6
affair,1858.1,1722.9,4.4,2.1
affect,2548.8,2481,3.3,2.3
afford,1920.6,1283,4,2.1
affront,2168.8,2554.5,1.8,1.6
afloat,1944.5,2509.1,4.5,2.2
afoot,1993.5,1317,2.6,2.3
afraid,1992.4,2224.1,4.8,2.2
after,1675.6,931.9,2.4,1.8
again,1503.9,2157.6,2.1,1.5
against,2323.9,2980.6,3.2,2.1
agent,1508,948.6,5.4,2
ago,1789.6,1608.8,1.8,1.3
agree,1826.4,1454.1,3.4,2.3
agreed,2109.2,1538.9,2.6,1.9
ahead,1905.7,1667.7,3.8,2.2
ailment,2828.1,5141,3.5,2.3
airport,1198.4,598.8,6.8,1
alarm,1589.9,925.3,6,1.7
alas,2906.3,6778,2.3,2
album,1423.8,959.5,6.2,1.5
alert,2596.5,2914.1,4.6,2.2
align,1818.9,1612.3,3.7,2.1
alike,1782.8,1586.4,3.7,2.3
alive,1997.5,1792.2,5.1,2.2
alley,1483.8,987.7,6.4,1.3
allow,2033.8,1709.7,2.2,1.7
alloy,1949.9,1275.3,4.3,2.2
allure,2075.1,2087.4,3.1,2.4
ally,1425.8,911.2,5,2.5
almond,1215.6,587.1,6.8,1.2
almost,1566.1,1038,2.9,2
aloft,1982.6,2084,3.2,1.9
alone,1734.5,1127.3,4.6,2.4
along,1609,1369.8,2.5,1.8
aloof,2048,1865.1,2.4,1.7
aloud,2316.2,2481.6,3.5,2.2
alpha,2233.3,1856.5,3.8,2.5
alright,1930.1,1433.2,2.4,1.6
also,1974.7,1849.8,1.9,1.6
altar,1483.2,912.4,5.4,2.3
alter,2171.4,2028.5,5.1,2.4
although,1596.7,1297.5,1.8,1.6
alto,2200,3147.8,3.5,2.3
always,2490.7,2202.6,2.7,1.8
amaze,2038,2035.7,3.1,2.2
amber,1764.1,2257.4,5,2.4
ambush,2122.4,1513.1,4.7,2
amen,1574.5,1119.9,3.8,2.8
amend,1899,1370.3,2.2,1.7
amid,1627.9,1659.1,2.3,1.8
amidst,2069.5,1434.7,2.8,2.2
amiss,1568.5,983,2,1.9
ammo,1261.9,382.2,5.4,2.2
among,1753.2,1383.7,2.6,2
amount,1984.2,1449.5,3.3,2.3
amuck,2061.7,1850.4,2.2,1.5
amuse,2319.3,2430.3,3.7,2
anchor,1080.9,499.5,6,2
ancient,1599.3,952.2,5.6,1.8
android,1793.4,1517.8,3.5,2.4
anew,1758.4,1324.6,1.8,1.2
angel,1671.9,1605.2,6.3,1.6
anger,2000.2,3234.9,4.8,2.3
angle,2066.7,2232.1,5.4,2.1
angry,1350.7,710.7,5.1,2.1
anguish,1777.5,1563.6,3.3,2.1
ankle,1052,327.7,6.6,0.9
annals,2817.7,1901.7,2.4,1.7
annex,2168.5,2079.2,3.2,2.2
announce,2476.8,2920.3,3.3,1.9
annoy,1683.8,1168.4,4.3,2.3
answer,1846.8,961.2,4.2,2.3
ante,1636,712,2.6,2.2
anthem,1611.1,855.7,4.7,2.1
anthrax,1903.5,1355.2,5,2.4
antique,1758.1,1191.2,5.9,1.8
antsy,2266.7,2194.1,3.4,2
anvil,2102.7,3618.5,4.6,2.5
anxious,2265.6,2653.8,4.2,2.1
any,1996,1949.1,2,1.6
apart,1743.5,1188.1,3.8,2.5
apex,1879.9,1666.5,2.6,2.1
appeal,2230.7,2032.4,3.3,2.1
appear,2324.6,2354.4,4.2,2.1
applaud,1635.4,1002.6,5.8,1.5
applause,1420.7,773.3,5.4,2.3
apple,1010.6,357.1,6.9,0.6
apply,2012.5,1900.3,3,2.1
appoint,1865.5,1299.2,3.4,2
approach,2301.4,2517.2,3.9,2.2
approve,2155.6,2020.8,3.4,2.3
apron,1304.3,777.2,6,2
arbor,2337.3,2750.8,4.2,2.4
arcade,1564.9,1194.5,6.7,1
archive,2096.7,1574.1,3.9,2.1
arctic,1600.5,789,6,1.8
ardent,1847.5,1269.1,1.4,1
argue,2107.3,2015.1,4.7,1.9
arise,2016.8,1769.2,3.5,1.9
armor,9359.8,45867,5.9,2
armour,1851.1,1808.6,5.7,1.8
army,1380,962.2,6.6,0.7
arose,1959.1,2262.6,3.8,2.1
around,1590.3,822.9,3.2,1.9
arouse,1706.9,1616.5,4.3,2.3
arrange,1790,1211.3,3.3,2.1
array,2123.1,1723,2.5,1.8
arrest,1445.7,700.9,6.2,1.4
arrive,1862.9,1199.9,4,2.1
arrow,1296.1,766.5,6.6,1.3
arson,1458,571.9,5.1,2.1
artist,1375.5,805,6.2,1.3
ascend,2137,2116.4,3.5,2
aside,1772,1125.7,3,2
asleep,1451.7,755.2,5.9,1.6
aspect,1939.3,1720.8,1.9,1.4
aspen,1743.1,1253.9,4.9,2.6
asphalt,1505.3,1166.4,5.5,2
aspire,1568.3,1341.9,3.8,2.1
assault,1639.6,1213.8,5.4,2
assert,1725.8,1085.4,2.3,1.6
assess,2107.6,1531.2,2.9,2
asset,2103.2,1407.6,3.9,2.2
assign,2210.7,1980.1,3.4,2.1
assist,1960.1,1814,3.6,2.1
assume,2039.7,1616,2.2,1.6
assure,1779.1,1386.3,2.4,1.6
asthma,1681.7,1151.9,5.3,2
astral,2049,2402.2,1.6,1.5
astray,2593.2,2260,3.5,2
astute,2157.7,2978.9,2.4,1.9
athlete,1447.1,1002.6,6,1.8
atlas,1333.2,650.8,6.2,1.6
atom,1600.8,1014.8,5.8,1.9
atone,1603.3,1243.5,2.3,1.9
attach,2416.5,2258.3,3.9,2.3
attack,1718.5,2332.9,4.9,2
attain,1943.2,1178.7,3.2,2
attempt,2058,1811.3,3,2.2
