Word,Dom_PoS
a,Article
aa,Name
aaa,Name
aah,Interjection
aahed,Verb
aahing,Verb
aahs,Noun
aal,Adjective
aardvark,Noun
aargh,Interjection
aaron,Name
aarrgh,Verb
aarrghh,Noun
aas,Noun
ab,Unclassified
aba,Noun
abaca,Noun
aback,Adverb
abacus,Noun
abacuses,Noun
abaddon,Noun
abaft,Verb
abalone,Verb
abalones,Noun
abandon,Verb
abandoned,Verb
abandoner,Noun
abandoning,Verb
abandonment,Noun
abandons,Verb
abase,Verb
abastard,Noun
abate,Verb
abated,Verb
abatement,Noun
abates,Verb
abating,Verb
abattoir,Noun
abay,Name
abb,Name
abba,Name
abbas,Name
abbe,Name
abbess,Noun
abbesses,Noun
abbey,Noun
abbot,Name
abbott,Name
abbreviate,Verb
abbreviated,Adjective
abbreviation,Noun
abbreviations,Noun
abby,Name
abc,Name
abd,Noun
abdicate,Verb
abdicated,Verb
abdicates,Noun
abdicating,Verb
abdication,Noun
abdomen,Noun
abdomens,Noun
abdominal,Adjective
abdominals,Noun
abduct,Verb
abducted,Verb
abductee,Noun
abductees,Noun
abducting,Verb
abduction,Noun
abductions,Noun
abductor,Noun
abductors,Noun
abducts,Verb
abeam,Noun
abed,Adverb
abel,Name
abele,Noun
abend,Noun
aberdeen,Name
abernethy,Name
aberrant,Adjective
aberration,Noun
aberrations,Noun
abet,Verb
abetted,Verb
abetting,Verb
abettor,Noun
abeyance,Noun
abhor,Verb
abhorred,Verb
abhorrent,Adjective
abhors,Verb
abide,Verb
abided,Verb
abiders,Noun
abides,Verb
abiding,Adjective
abigail,Name
abilene,Name
abilities,Noun
ability,Noun
abiogenist,Noun
abit,Noun
abject,Adjective
abjectly,Adverb
abjure,Verb
ablate,Verb
ablated,Verb
ablation,Noun
ablaze,Adjective
able,Adjective
abler,Adjective
ablest,Adjective
abloom,Verb
ablution,Noun
ablutions,Noun
ably,Adverb
abner,Name
abnormal,Adjective
abnormalities,Noun
abnormality,Noun
abnormally,Adverb
abnormity,Noun
abo,Noun
aboard,Adverb
abode,Noun
abogado,Noun
abolish,Verb
abolished,Verb
abolishes,Verb
abolishing,Verb
abolition,Noun
abolitionism,Noun
abolitionist,Noun
abolitionists,Noun
abomasum,Noun
abominable,Adjective
abominably,Adverb
abominate,Verb
abomination,Noun
abominations,Noun
aboriginal,Adjective
aboriginally,Adverb
aboriginals,Name
aborigine,Noun
aborigines,Noun
aborning,Verb
abort,Verb
aborted,Verb
aborting,Verb
abortion,Noun
abortionist,Noun
abortionists,Noun
abortions,Noun
abortive,Adjective
abortively,Adverb
aborts,Verb
abound,Verb
abounded,Verb
abounding,Verb
abounds,Verb
about,Preposition
abouts,Adverb
above,Preposition
aboveboard,Noun
aboveground,Adjective
abovementioned,Adjective
abracadabra,Noun
abrade,Verb
abraded,Verb
abraham,Name
abraid,Verb
abrasion,Noun
abrasions,Noun
abrasive,Adjective
abrasiveness,Noun
abrasives,Verb
abraxas,Name
abreaction,Noun
abreast,Adjective
abridge,Noun
abridged,Adjective
abridgement,Noun
abridging,Verb
abroad,Adverb
abrogate,Verb
abrogated,Verb
abrogating,Verb
abrupt,Adjective
abruption,Noun
abruptly,Adverb
abruptness,Noun
abs,Adjective
abscam,Name
abscess,Noun
abscessed,Verb
abscesses,Noun
abscond,Verb
absconded,Verb
absconder,Noun
absconders,Verb
absconding,Verb
abseiling,Verb
absence,Noun
absences,Noun
absent,Adjective
absentee,Noun
absenteeism,Noun
absentees,Noun
absentia,Adverb
absenting,Verb
absentminded,Adjective
absentmindedness,Noun
absinthe,Verb
absinthes,Noun
absinthium,Noun
absit,Verb
absolute,Adjective
absolutely,Adverb
absoluteness,Noun
absolutes,Noun
absolution,Noun
absolutions,Name
absolve,Verb
absolved,Verb
absolver,Noun
absolves,Verb
absolving,Verb
absorb,Verb
absorbed,Verb
absorbent,Adjective
absorber,Noun
absorbers,Noun
absorbing,Verb
absorbs,Verb
absorbtion,Noun
absorption,Noun
absorptions,Noun
abstain,Verb
abstained,Verb
abstainers,Noun
abstaining,Verb
abstains,Verb
abstention,Noun
abstentions,Noun
abstinence,Noun
abstinent,Noun
abstract,Adjective
abstracted,Adjective
abstracting,Verb
abstraction,Noun
abstractionist,Noun
abstractions,Noun
abstractly,Adverb
abstracts,Noun
abstruse,Adjective
absurd,Adjective
absurdist,Noun
absurdities,Noun
absurdity,Noun
absurdly,Adverb
abt,Noun
abu,Name
abulia,Noun
abundance,Noun
abundant,Adjective
abundantly,Adverb
abuse,Noun
abused,Verb
abuser,Noun
abusers,Noun
abuses,Noun
abusing,Verb
abusive,Adjective
abusiveness,Noun
abut,Verb
abutment,Noun
abutments,Noun
abuts,Verb
abutting,Verb
abuzz,Noun
abysmal,Adjective
abysmally,Adverb
abyss,Noun
abyssal,Noun
abysses,Noun
abyssinia,Name
abyssinian,Adjective
abyssus,Noun
ac,Noun
acacia,Noun
academe,Noun
academes,Noun
academia,Noun
academic,Adjective
academically,Adverb
academician,Noun
academics,Noun
academies,Noun
academy,Noun
acadia,Name
acanthus,Adjective
acapulco,Name
acc,Noun
accademia,Noun
accadian,Adjective
accede,Verb
acceded,Verb
accelerant,Noun
accelerate,Verb
accelerated,Adjective
accelerates,Verb
accelerating,Verb
acceleration,Noun
accelerator,Noun
accelerators,Noun
accent,Noun
accented,Verb
accents,Noun
accentuate,Verb
accentuated,Verb
accentuates,Verb
accentuating,Verb
accept,Verb
acceptable,Adjective
acceptance,Noun
acceptances,Noun
acceptant,Noun
accepted,Verb
accepting,Verb
accepts,Verb
access,Noun
accessed,Verb
accesses,Verb
accessibility,Noun
accessible,Adjective
accessing,Verb
accession,Noun
accessories,Noun
accessorise,Verb
accessorize,Verb
accessorized,Verb
accessorizing,Verb
accessory,Noun
accident,Noun
accidental,Adjective
accidentally,Adverb
accidentals,Noun
accidently,Adverb
accidents,Noun
